profile,origin_epoch,query_epoch,source_index,selected_source_epoch,original_level_m,asof_admissible,base_m,age_minutes
A,1743476400.0,1743475500.0,-1,,,False,,
A,1743480000.0,1743479100.0,3,1743479100.0,,True,,
A,1743483600.0,1743482700.0,7,1743482700.0,,True,,
A,1743487200.0,1743486300.0,11,1743486300.0,,True,,
A,1743490800.0,1743489900.0,15,1743489900.0,,True,,
A,1743494400.0,1743493500.0,19,1743493500.0,,True,,
A,1743498000.0,1743497100.0,23,1743497100.0,,True,,
A,1743501600.0,1743500700.0,27,1743500700.0,,True,,
A,1743505200.0,1743504300.0,31,1743504300.0,0.8,True,0.8,15.0
A,1743508800.0,1743507900.0,35,1743507900.0,0.81,True,0.81,15.0
A,1743512400.0,1743511500.0,39,1743511500.0,0.82,True,0.82,15.0
A,1743516000.0,1743515100.0,43,1743515100.0,0.84,True,0.84,15.0
A,1743519600.0,1743518700.0,47,1743518700.0,0.85,True,0.85,15.0
A,1743523200.0,1743522300.0,51,1743522300.0,0.86,True,0.86,15.0
A,1743526800.0,1743525900.0,55,1743525900.0,0.87,True,0.87,15.0
A,1743530400.0,1743529500.0,59,1743529500.0,0.88,True,0.88,15.0
A,1743534000.0,1743533100.0,63,1743533100.0,0.88,True,0.88,15.0
A,1743537600.0,1743536700.0,67,1743536700.0,0.89,True,0.89,15.0
A,1743541200.0,1743540300.0,71,1743540300.0,0.89,True,0.89,15.0
A,1743544800.0,1743543900.0,75,1743543900.0,0.89,True,0.89,15.0
A,1743548400.0,1743547500.0,79,1743547500.0,0.88,True,0.88,15.0
A,1743552000.0,1743551100.0,83,1743551100.0,0.88,True,0.88,15.0
A,1743555600.0,1743554700.0,87,1743554700.0,0.87,True,0.87,15.0
A,1743559200.0,1743558300.0,91,1743558300.0,0.86,True,0.86,15.0
A,1743562800.0,1743561900.0,95,1743561900.0,0.86,True,0.86,15.0
A,1743566400.0,1743565500.0,99,1743565500.0,0.85,True,0.85,15.0
A,1743570000.0,1743569100.0,103,1743569100.0,0.85,True,0.85,15.0
A,1743573600.0,1743572700.0,107,1743572700.0,0.84,True,0.84,15.0
A,1743577200.0,1743576300.0,111,1743576300.0,0.84,True,0.84,15.0
A,1743580800.0,1743579900.0,115,1743579900.0,0.83,True,0.83,15.0
A,1743584400.0,1743583500.0,119,1743583500.0,0.83,True,0.83,15.0
A,1743588000.0,1743587100.0,123,1743587100.0,0.82,True,0.82,15.0
A,1743591600.0,1743590700.0,127,1743590700.0,0.82,True,0.82,15.0
A,1743595200.0,1743594300.0,131,1743594300.0,0.82,True,0.82,15.0
A,1743598800.0,1743597900.0,135,1743597900.0,0.82,True,0.82,15.0
A,1743602400.0,1743601500.0,139,1743601500.0,0.81,True,0.81,15.0
A,1743606000.0,1743605100.0,143,1743605100.0,0.81,True,0.81,15.0
A,1743609600.0,1743608700.0,147,1743608700.0,0.81,True,0.81,15.0
A,1743613200.0,1743612300.0,151,1743612300.0,0.81,True,0.81,15.0
A,1743616800.0,1743615900.0,155,1743615900.0,0.81,True,0.81,15.0
A,1743620400.0,1743619500.0,159,1743619500.0,0.81,True,0.81,15.0
A,1743624000.0,1743623100.0,163,1743623100.0,0.81,True,0.81,15.0
A,1743627600.0,1743626700.0,167,1743626700.0,0.82,True,0.82,15.0
A,1743631200.0,1743630300.0,171,1743630300.0,0.84,True,0.84,15.0
A,1743634800.0,1743633900.0,175,1743633900.0,0.84,True,0.84,15.0
A,1743638400.0,1743637500.0,179,1743637500.0,0.84,True,0.84,15.0
A,1743642000.0,1743641100.0,183,1743641100.0,0.86,True,0.86,15.0
A,1743645600.0,1743644700.0,187,1743644700.0,0.86,True,0.86,15.0
A,1743649200.0,1743648300.0,191,1743648300.0,0.86,True,0.86,15.0
A,1743652800.0,1743651900.0,195,1743651900.0,0.87,True,0.87,15.0
