nom_reservatorio;tip_reservatorio;cod_resplanejamento;cod_posto;nom_usina;ceg;id_subsistema;nom_subsistema;nom_bacia;nom_rio;nom_ree;dat_entrada;val_cotamaxima;val_cotaminima;val_volmax;val_volmin;val_volutiltot;val_produtibilidadeespecifica;val_produtividade65volutil;val_tipoperda;val_perda;val_latitude;val_longitude;res_id
BARRA BRAUNA;FIO DAGUA;185;135;BARRA DO BRAÚNA;UHE.PH.MG.000215-1.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;POMBA;SUDESTE;2009-12-25;152.000;150.000;92.550;75.170;17.380;0.008764;0.2094;m;0.81;-21.45;-42.4;PBBBRA
BARRA GRANDE;RESERVATÓRIO COM USINA;86;215;BARRA GRANDE;UHE.PH.RS.027556-5.01;S;SUL;URUGUAI;PELOTAS;SUL;2005-11-01;647.000;617.000;4904.450;2711.790;2192.660;0.009218;1.4153;m;2.79;-27.77722222;-51.18861111;RIUHBG
BATALHA;RESERVATÓRIO COM USINA;20;22;BATALHA;UHE.PH.MG.029454-3.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;SAO MARCOS;PARANA;2014-05-17;800.000;785.000;1781.610;430.050;1351.530;0.009025;0.3551;m;1.2;-17.34555556;-47.48944444;PNUSBL
BELO MONTE;FIO DAGUA;288;292;BELO MONTE;UHE.PH.PA.030354-2.01;N;NORTE;AMAZONAS;XINGU;BELO MONTE;2016-04-20;97.000;92.190;2276.290;1773.900;610.720;0.009119;0.8185;m;1.61;-3.126388889;-51.775;AMUSBM
BOA ESPERANÇA;RESERVATÓRIO COM USINA;190;190;BOA ESPERANÇA;UHE.PH.PI.000267-4.01;NE;NORDESTE;PARNAIBA;PARNAÍBA;NORDESTE;1970-01-31;304.000;298.000;5085.000;3173.000;1912.000;0.008935;0.3784;m;0.53;-6.751388889;-43.5675;PIBESP
C. DOURADA;FIO DAGUA;32;32;CACHOEIRA DOURADA;UHE.PH.GO.000528-2.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;PARANAÍBA;PARANA;1959-01-31;431.550;428.000;460.000;460.000;221.870;0.008568;0.2702;m;0.59;-18.50361111;-49.4925;PRCDOU
C.BRANCO-1;RESERVATÓRIO COM USINA;27;207;AMADOR AGUIAR I;UHE.PH.MG.027483-6.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;ARAGUARI-MG;PARANA;2006-02-21;624.000;623.300;241.130;228.270;12.860;0.008995;0.5114;m;1.84;-18.78833333;-48.14611111;PNCPB1
C.BRANCO-2;FIO DAGUA;28;28;AMADOR AGUIAR II;UHE.PH.MG.027484-4.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;ARAGUARI-MG;PARANA;2007-03-09;565.000;564.700;879.000;878.000;13.200;0.009077;0.4169;m;0.52;-18.65888889;-48.43583333;PNCPB2
CACHOEIRA CALDEIRAO;FIO DAGUA;204;204;CACHOEIRA CALDEIRÃO;UHE.PH.AP.031186-3.01;N;NORTE;ARAGUARI;ARAGUARI-AP;MANAUS-AMAPA;2016-05-05;58.300;58.300;231.210;231.210;0.000;0.009037;0.1406;m;0.32;0.852777778;-51.29666667;AAUCCA
CACONDE;RESERVATÓRIO COM USINA;14;14;CACONDE;UHE.PH.SP.000588-6.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;PARDO;PARANA;1952-04-01;855.000;825.000;555.000;51.000;504.090;0.008558;0.8259;m;0.87;-21.57777778;-46.62333333;PDCACO
CACU;RESERVATÓRIO COM USINA;311;247;CAÇU;UHE.PH.GO.028756-3.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CLARO;PARANA;2010-07-24;477.000;475.000;227.450;195.760;31.690;0.008951;0.243;m;0.21;-18.53222222;-51.14944444;PNCACU
CAMARGOS;RESERVATÓRIO COM USINA;1;1;CAMARGOS;UHE.PH.MG.000608-4.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1960-03-01;913.000;899.000;792.000;120.000;672.000;0.008767;0.2076;m;0.1;-21.32555556;-44.61666667;GRCAMA
CAMPOS NOVOS;RESERVATÓRIO COM USINA;90;216;CAMPOS NOVOS;UHE.PH.SC.027401-1.01;S;SUL;URUGUAI;CANOAS;SUL;2007-02-03;660.000;655.000;1477.000;1320.000;129.620;0.009083;1.6063;m;2.48;-27.60305556;-51.32361111;RIUHCN
CANA BRAVA;FIO DAGUA;252;191;CANA BRAVA;UHE.PH.GO.000630-0.01;SE;SUDESTE/CENTRO-OESTE;TOCANTINS;TOCANTINS;SUDESTE;2002-05-22;333.000;330.000;2300.000;2300.000;393.870;0.00887;0.3868;m;1.04;-13.40416667;-48.1425;TOUHCB
CANASTRA;FIO DAGUA;87;224;CANASTRA;UHE.PH.RS.000635-1.01;S;SUL;JACUI;SANTA MARIA;SUL;1956-04-01;545.830;541.330;0.384;0.183;0.242;;;;;-29.3932672;-50.7457369;OSCNST
CANDONGA;FIO DAGUA;139;149;RISOLETA NEVES;UHE.PH.MG.000641-6.01;SE;SUDESTE/CENTRO-OESTE;DOCE;DOCE;SUDESTE;2004-08-24;327.500;326.500;29.750;27.120;2.630;0.009074;0.4503;m;0.4;-20.20694444;-42.85527778;DCUHEC
CANOAS I;FIO DAGUA;52;52;CANOAS I;UHE.PH.SP.000647-5.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1999-05-09;351.000;350.000;212.000;212.000;27.700;0.009124;0.1489;m;0.22;-22.94222222;-50.51638889;PPCNO1
CANOAS II;FIO DAGUA;51;51;CANOAS II;UHE.PH.SP.027092-0.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1999-05-15;366.000;365.000;151.000;151.000;22.750;0.009089;0.1288;m;0.21;-22.93777778;-50.24888889;PPCNO2
CAPIVARA;RESERVATÓRIO COM USINA;61;61;CAPIVARA;UHE.PH.SP.000657-2.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1977-03-10;334.000;321.000;10540.000;4816.000;5724.930;0.008554;0.3744;m;1.51;-22.66111111;-51.35388889;PPCAPI
CASTRO ALVES;FIO DAGUA;97;98;CASTRO ALVES;UHE.PH.RS.000718-8.01;S;SUL;JACUI;TAQUARI-ANTAS;SUL;2008-03-04;240.000;239.000;92.000;87.000;4.600;0.008954;0.7676;m;6.62;-29.00444444;-51.38416667;JIUHCA
CHAVANTES;RESERVATÓRIO COM USINA;49;49;CHAVANTES;UHE.PH.SP.000764-1.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1970-02-06;474.000;465.230;8795.000;5754.000;3041.120;0.008791;0.6177;m;2.19;-23.13055556;-49.73333333;PPCHAV
COARACY NUNES;FIO DAGUA;280;280;COARACY NUNES;UHE.PH.AP.000783-8.01;N;NORTE;ARAGUARI;ARAGUARI-AP;MANAUS-AMAPA;1990-12-31;42.140;35.140;138.500;25.000;113.500;0.008918;0.1795;m;0.32;0.915277778;-51.25944444;AMUHCN
COLIDER;FIO DAGUA;228;228;COLÍDER;UHE.PH.MT.030422-0.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;TELES PIRES;TELES PIRES;2019-03-09;272.000;271.400;1524.500;1427.480;97.020;0.009153;0.2078;m;0.35;-10.97555556;-55.76333333;AMCLR 
CORUMBA;RESERVATÓRIO COM USINA;30;209;CORUMBÁ;UHE.PH.GO.000866-4.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CORUMBÁ;PARANA;1997-04-30;595.000;570.000;1500.000;470.000;1024.900;0.008845;0.6294;m;0.69;-17.98694444;-48.53111111;COCORU
CORUMBA-3;RESERVATÓRIO COM USINA;203;23;CORUMBÁ III;UHE.PH.GO.028352-5.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CORUMBÁ;PARANA;2009-10-24;772.000;768.000;972.000;709.000;259.700;0.008795;0.3471;m;0.84;-16.78611111;-47.94194444;PNUCB3
CORUMBA-4;RESERVATÓRIO COM USINA;29;205;CORUMBÁ IV;UHE.PH.GO.027795-9.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CORUMBÁ;PARANA;2006-04-01;842.600;837.000;3708.000;2936.600;916.890;0.008746;0.5836;m;1.59;-16.32277778;-48.1875;PNUCB4
CURUA-UNA;RESERVATÓRIO COM USINA;272;277;CURUÁ-UNA;UHE.PH.PA.027130-6.01;N;NORTE;AMAZONAS;CURUÁ-UNA;BELO MONTE;1977-07-27;32.220;25.220;602.000;133.000;469.000;0.008715;0.1679;m;0.13;-2.816111111;-54.30055556;CRCURU
D. FRANCISCA;FIO DAGUA;114;114;DONA FRANCISCA;UHE.PH.RS.027012-1.01;S;SUL;JACUI;JACUÍ;SUL;2001-02-05;94.490;91.000;330.000;330.000;62.560;0.008765;0.3356;m;0.36;-29.44944444;-53.28333333;JIUDFR
DARDANELOS;FIO DAGUA;310;291;DARDANELOS;UHE.PH.MT.029597-3.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;ARIPUANA;MADEIRA;2011-08-09;214.000;213.500;0.910;0.870;0.040;0.008917;0.8689;m;1.5;-10.16305556;-59.46361111;AMDA  
E. DA CUNHA;FIO DAGUA;15;15;EUCLIDES DA CUNHA;UHE.PH.SP.000923-7.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;PARDO;PARANA;1980-01-01;665.000;659.500;14.000;14.000;4.690;0.008602;0.7502;m;0.73;-21.60277778;-46.94777778;PDECUN
EMBORCAÇÃO;RESERVATÓRIO COM USINA;24;24;THEODOMIRO CARNEIRO SANTIAGO (EMBORCAÇÃO);UHE.PH.MG.027115-2.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;PARANAÍBA;PARANA;1982-04-01;661.000;615.000;17725.000;4669.000;13055.720;0.00904;1.1582;m;0.98;-18.45111111;-47.98194444;PREMBO
ESPORA;RESERVATÓRIO COM USINA;290;99;ESPORA;UHE.PH.GO.000908-3.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CORRENTE;PARANA;2006-09-07;583.500;576.500;209.000;71.000;137.850;0.008731;0.4021;m;5.2;-18.67805556;-51.86888889;PNUHES
ESTREITO;FIO DAGUA;267;271;ESTREITO;UHE.PH.MA.028863-2.01;N;NORTE;TOCANTINS;TOCANTINS;NORTE;2011-04-29;156.000;151.000;5298.540;2907.660;2390.870;0.009079;0.211;m;0.33;-6.588611111;-47.46388889;TOUHET
FERREIRA GOMES;FIO DAGUA;284;297;FERREIRA GOMES;UHE.PH.AP.030385-2.01;N;NORTE;ARAGUARI;ARAGUARI-AP;MANAUS-AMAPA;2014-11-04;21.300;20.300;137.130;120.400;16.730;0.008937;0.1499;m;0.2;0.855666667;-51.19683333;AAFGO 
FONTES;FIO DAGUA;132;303;FONTES NOVA;UHE.PH.RJ.000973-3.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;RIBEIRÃO LAJE;SUDESTE;1940-01-01;415.000;415.000;445.350;445.350;1.000;0.008767;2.7014;m;15.19;-22.69111111;-43.86277778;RLFONT
FOZ CHAPECO;FIO DAGUA;103;94;FOZ DO CHAPECÓ;UHE.PH.RS.028354-1.01;S;SUL;URUGUAI;URUGUAI;SUL;2010-10-14;265.000;264.000;1513.000;1512.000;78.810;0.00887;0.4506;m;1.39;-27.13972222;-53.0475;RIUHFC
FOZ DO RIO CLARO;FIO DAGUA;315;261;ENG. J.L.M. GODOY PEREIRA;UHE.PH.GO.029455-1.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;CLARO;PARANA;2010-08-05;354.000;352.000;99.130;83.810;15.320;0.008978;0.2395;m;0.07;-19.11916667;-50.64305556;PNUFRC
FUNDÃO;FIO DAGUA;72;72;FUNDÃO;UHE.PH.PR.028360-6.01;S;SUL;IGUACU;JORDÃO;IGUACU;2006-06-23;705.500;705.000;34.590;33.450;1.150;0.008917;0.8307;m;3.58;-25.70083333;-52.00361111;IGFND 
FUNIL;RESERVATÓRIO COM USINA;123;123;FUNIL (RJ);UHE.PH.RJ.027118-7.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAÍBA SUL;SUDESTE;1969-04-01;466.500;444.000;888.000;283.000;605.700;0.008616;0.5575;m;1.04;-22.52861111;-44.56694444;PBFUNI
FUNIL-MG;FIO DAGUA;4;211;FUNIL (MG);UHE.PH.MG.001006-5.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;2003-01-23;808.000;807.800;304.000;304.000;6.810;0.00901;0.3549;m;0.39;-21.1425;-45.03472222;GRFUNI
FURNAS;RESERVATÓRIO COM USINA;6;6;FURNAS;UHE.PH.MG.001007-3.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1963-03-01;768.000;750.000;22950.000;5733.000;17217.000;0.008996;0.813;m;0.8;-20.66944444;-46.31388889;GRFURN
G. B. MUNHOZ;RESERVATÓRIO COM USINA;74;74;GOV. BENTO MUNHOZ;UHE.PH.PR.000984-9.01;S;SUL;IGUACU;IGUAÇU;IGUACU;1980-10-01;742.000;700.000;5779.000;1974.000;3804.690;0.008952;1.0938;m;2.31;-26.00944444;-51.66472222;IGGBMU
G. P. SOUZA;RESERVATÓRIO COM USINA;115;115;GOV. PARIGOT DE SOUZA;UHE.PH.PR.001042-1.01;S;SUL;CAPIVARI;CAPIVARI;SUL;1970-10-25;845.000;822.000;179.000;23.000;156.000;0.008756;6.3542;m;23.78;-25.13944444;-48.87388889;CASPSO
GARIBALDI;RESERVATÓRIO COM USINA;89;89;GARIBALDI;UHE.PH.SC.030415-8.01;S;SUL;URUGUAI;CANOAS;SUL;2013-09-24;705.000;702.500;296.000;232.000;64.230;0.008626;0.3691;m;1.19;-27.62472222;-50.98388889;RIGAR 
GOV JAYME CANET JR;RESERVATÓRIO COM USINA;57;57;GOV. JAYME CANET;UHE.PH.PR.029598-1.01;S;SUL;PARANAPANEMA;TIBAGI;IGUACU;2012-11-23;635.000;626.000;2137.000;1473.000;667.000;0.009029;1.0494;m;2.91;-24.0625;-50.70805556;PPUHMU
GUAPORE;FIO DAGUA;196;296;GUAPORÉ;UHE.PH.MT.001066-9.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;GUAPORE;MADEIRA;2003-04-08;479.200;478.700;21.000;21.000;2.050;0.008922;1.5452;m;1.73;-15.12166667;-58.96416667;AMUGUA
GUILM. AMORIM;FIO DAGUA;192;262;GUILMAN AMORIM;UHE.PH.MG.001079-0.01;SE;SUDESTE/CENTRO-OESTE;DOCE;PIRACICABA;SUDESTE;1997-11-02;495.000;492.000;12.000;12.000;2.730;0.008778;1.0066;m;3.15;-19.7075;-42.96111111;PCGAMO
HENRY BORDEN;FIO DAGUA;119;318;HENRY BORDEN EXTERNA;UHE.PH.SP.001084-7.01;SE;SUDESTE/CENTRO-OESTE;TIETE;CUBATÃO;SUDESTE;1926-04-01;728.750;728.750;1.000;1.000;1.000;0.007939;5.6808;m;10.67;-23.87444444;-46.4525;GPHBOR
HENRY BORDEN;FIO DAGUA;119;318;HENRY BORDEN SUBTERRÂNEA;UHE.PH.SP.001084-7.01;SE;SUDESTE/CENTRO-OESTE;TIETE;CUBATÃO;SUDESTE;1956-01-01;728.750;728.750;1.000;1.000;1.000;0.007939;5.6808;m;10.67;-23.87444444;-46.4525;GPHBOR
I. SOLTEIRA;RESERVATÓRIO COM USINA;34;34;ILHA SOLTEIRA;UHE.PH.SP.001120-7.01;SE;SUDESTE/CENTRO-OESTE;PARANA;PARANÁ;PARANA;1973-03-01;328.000;323.000;21060.000;15543.800;5515.500;0.00865;0.3869;m;0.54;-20.37972222;-51.35805556;PNISOL
IBITINGA;FIO DAGUA;39;239;IBITINGA;UHE.PH.SP.001097-9.01;SE;SUDESTE/CENTRO-OESTE;TIETE;TIETÊ;PARANA;1969-02-01;404.000;403.500;985.000;985.000;55.770;0.008438;0.1737;m;0.41;-21.75775;-48.99183333;TIIBIT
IGARAPAVA;FIO DAGUA;10;10;IGARAPAVA;UHE.PH.SP.001098-7.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1999-01-01;512.200;511.800;480.000;480.000;14.610;0.008996;0.1523;m;0.17;-19.99027778;-47.75416667;GRIGAR
ILHA POMBOS;FIO DAGUA;130;130;ILHA DOS POMBOS;UHE.PH.RJ.001113-4.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAÍBA SUL;SUDESTE;1924-03-01;140.000;137.400;8.000;8.000;6.750;0.008484;0.2702;m;0.3;-21.84472222;-42.57916667;PBILHP
IRAPE;RESERVATÓRIO COM USINA;148;255;IRAPÉ;UHE.PH.MG.001146-0.01;SE;SUDESTE/CENTRO-OESTE;JEQUITINHONHA;JEQUITINHONHA;SUDESTE;2006-07-20;510.000;470.800;5963.920;2267.940;3699.860;0.008719;1.4533;m;2.0;-16.73583333;-42.57555556;JEIRAP
ITAIPU;FIO DAGUA;66;266;ITAIPU 60 HZ;UHE.PH.PR.001161-4.01;SE;SUDESTE/CENTRO-OESTE;PARANA;PARANÁ;ITAIPU;1987-01-01;220.300;219.000;29403.910;27695.190;19000.000;0.009037;1.0244;m;1.33;-25.40472222;-54.58833333;PNITAI
ITAIPU;FIO DAGUA;66;266;ITAIPU 50 HZ;UHE.PH.PR.001161-4.01;SE;SUDESTE/CENTRO-OESTE;PARANA;PARANÁ;ITAIPU;1984-02-01;220.300;219.000;29403.910;27695.190;19000.000;0.009037;1.0244;m;1.33;-25.40472222;-54.58833333;PNITAI
ITAPEBI;FIO DAGUA;154;188;ITAPEBI;UHE.PH.BA.001175-4.01;NE;NORDESTE;JEQUITINHONHA;JEQUITINHONHA;NORDESTE;2003-02-05;110.000;109.000;1633.560;1565.270;68.290;0.008842;0.715;m;0.88;-15.96972222;-39.59333333;JEUITP
ITAUBA;FIO DAGUA;113;113;ITAÚBA;UHE.PH.RS.027019-9.01;S;SUL;JACUI;JACUÍ;SUL;1978-02-01;184.000;171.000;620.000;620.000;158.200;0.00908;0.7554;m;3.3;-29.25888889;-53.23611111;JIITAU
ITIQUIRA I;FIO DAGUA;304;259;ITIQUIRA I;UHE.PH.MT.027244-2.01;SE;SUDESTE/CENTRO-OESTE;PARAGUAI;ITIQUIRA;SUDESTE;2002-10-24;412.000;411.200;5.000;5.000;0.660;0.008793;0.7685;m;4.28;-17.08361111;-54.87555556;PYUIQ 
ITIQUIRA II;FIO DAGUA;305;252;ITIQUIRA II;UHE.PH.MT.027244-2.01;SE;SUDESTE/CENTRO-OESTE;PARAGUAI;ITIQUIRA;SUDESTE;2002-12-22;320.000;320.000;1.000;1.000;1.000;0.008968;1.2239;m;2.62;-17.08166667;-54.9025;PYUIQ2
ITUMBIARA;RESERVATÓRIO COM USINA;31;31;ITUMBIARA;UHE.PH.MG.001194-0.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;PARANAÍBA;PARANA;1980-02-01;520.000;495.000;17027.000;4573.000;12454.000;0.008958;0.7027;m;0.75;-18.40944444;-49.09694444;PRITUM
ITUTINGA;FIO DAGUA;2;2;ITUTINGA;UHE.PH.MG.001197-5.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1955-02-01;886.000;880.000;11.000;11.000;7.040;0.008649;0.2437;m;0.63;-21.29277778;-44.62277778;GRITUT
ITÁ;FIO DAGUA;92;92;ITÁ;UHE.PH.RS.001152-5.01;S;SUL;URUGUAI;URUGUAI;SUL;2000-07-01;370.000;364.000;5100.000;5100.000;797.850;0.008941;0.9097;m;1.7;-27.28222222;-52.38555556;RIITÁ 
JACUI;FIO DAGUA;112;112;JACUÍ;UHE.PH.RS.001217-3.01;S;SUL;JACUI;JACUÍ;SUL;1962-03-01;279.890;270.370;29.000;29.000;24.390;0.008731;0.7951;m;2.55;-29.07916667;-53.225;JIJACU
JAGUARA;FIO DAGUA;9;9;JAGUARA US;UHE.PH.SP.001225-4.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1971-01-01;558.500;555.500;450.000;450.000;90.000;0.008944;0.3944;m;0.5;-20.025;-47.43555556;GRJAGU
JAGUARI;RESERVATÓRIO COM USINA;120;120;JAGUARI;UHE.PH.SP.027131-4.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;JAGUARI;SUDESTE;1972-01-02;623.000;603.200;1236.000;443.000;792.480;0.008536;0.5163;m;0.42;-23.1925;-46.02138889;PBJAGU
JAURU;FIO DAGUA;195;295;JAURU;UHE.PH.MT.001245-9.01;SE;SUDESTE/CENTRO-OESTE;PARAGUAI;JAURU;SUDESTE;2003-06-06;355.000;354.530;17.150;16.250;0.900;0.008912;0.9297;m;1.48;-15.24083333;-58.73111111;PYUJAU
JIRAU;FIO DAGUA;285;285;JIRAU;UHE.PH.RO.029736-4.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;MADEIRA;MADEIRA;2013-09-06;90.000;82.390;2746.730;1235.590;1511.140;0.009065;0.155;m;0.16;-9.268333333;-64.64861111;AMUHJI
JUPIA;FIO DAGUA;45;245;JUPIÁ;UHE.PH.SP.001282-3.01;SE;SUDESTE/CENTRO-OESTE;PARANA;PARANÁ;PARANA;1969-02-01;280.000;277.000;3354.000;3354.000;903.750;0.008751;0.18;m;0.63;-20.77694444;-51.63305556;PNJUPI
JURUENA;FIO DAGUA;309;226;JURUENA;UHE.PH.MT.040733-0.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;JURUENA;TELES PIRES;2025-09-03;452.000;451.900;2.140;2.100;0.040;0.009043;0.2969;m;1.47;-13.4019441;-59.0056391;AMJRN 
JURUMIRIM;RESERVATÓRIO COM USINA;47;47;JURUMIRIM;UHE.PH.SP.001285-8.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1962-09-21;568.000;559.700;7008.000;3843.000;3164.930;0.008875;0.2907;m;0.41;-23.21083333;-49.22916667;PPJURU
L. C. BARRETO;FIO DAGUA;8;8;LUIZ CARLOS BARRETO;UHE.PH.SP.000917-2.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1969-01-01;622.500;618.500;1423.000;1423.000;178.200;0.00889;0.5437;m;0.9;-20.15361111;-47.27777778;GRLCBA
LAJEADO;FIO DAGUA;261;273;LAJEADO;UHE.PH.TO.001304-8.01;SE;SUDESTE/CENTRO-OESTE;TOCANTINS;TOCANTINS;SUDESTE;2001-12-01;212.300;211.500;4940.000;4940.000;482.370;0.00904;0.3315;m;0.43;-9.756388889;-48.37416667;TOLAJ 
LIMOEIRO;FIO DAGUA;16;16;LIMOEIRO;UHE.PH.SP.001328-5.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;PARDO;PARANA;1980-01-01;573.000;563.000;25.000;25.000;16.360;0.008599;0.2209;m;0.19;-21.62472222;-47.01055556;PDLIMO
LUIZ GONZAGA;RESERVATÓRIO COM USINA;172;172;LUIZ GONZAGA;UHE.PH.PE.001174-6.01;NE;NORDESTE;SAO FRANCISCO;SÃO FRANCISCO;NORDESTE;1988-02-28;304.000;299.000;10782.000;7234.000;3549.000;0.008739;0.4425;m;0.5;-9.140833333;-38.31361111;SFLGON
M. MORAES;RESERVATÓRIO COM USINA;7;7;MASCARENHAS DE MORAES;UHE.PH.MG.002038-9.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1956-04-01;666.120;653.120;4040.000;1540.000;2500.000;0.008657;0.3471;m;1.14;-20.285;-47.0625;GRMMOR
MACHADINHO;RESERVATÓRIO COM USINA;91;217;MACHADINHO;UHE.PH.SC.001356-0.01;S;SUL;URUGUAI;URUGUAI;SUL;2002-02-16;480.000;465.000;3340.000;2283.000;1055.810;0.009034;0.8779;m;1.48;-27.52444444;-51.78888889;RIUHMA
